,Playername,Playerposition,Teamname,2019completed1-39,2019attempted1-39,2019completed40-49,2019attempted40-49,2019completed50+,2019attempted50+,2019completedtot,2019attemptedtot,2019completedxp,2019attemptedxp,2019fpts,2020completed1-39,2020attempted1-39,2020completed40-49,2020attempted40-49,2020completed50+,2020attempted50+,2020completedtot,2020attemptedtot,2020completedxp,2020attemptedxp,2020fpts
40,Adam Vinatieri,K,FA,12.0,13.0,3.0,7.0,2.0,5.0,17.0,25.0,22.0,28.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Phil Dawson,K,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Sebastian Janikowski,K,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Nick Folk,K,FA,9.0,9.0,4.0,7.0,1.0,1.0,14.0,17.0,12.0,12.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Matt Bryant,K,FA,4.0,5.0,3.0,3.0,2.0,6.0,9.0,14.0,14.0,15.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Mike Nugent,K,FA,5.0,7.0,0.0,1.0,0.0,0.0,5.0,8.0,15.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Graham Gano,K,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Ryan Succop,K,Titans,1.0,1.0,0.0,4.0,0.0,1.0,1.0,6.0,24.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Stephen Gostkowski,K,FA,6.0,6.0,1.0,2.0,0.0,0.0,7.0,8.0,11.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tyler Bass,K,Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
